Treatment,SPL,Site
Post Lockdown,112.4077066,ST3TM
Post Lockdown,111.7949889,ST3TM
Post Lockdown,114.7244116,ST3TM
Post Lockdown,115.8898508,ST3TM
Post Lockdown,117.8250787,ST3TM
Post Lockdown,116.3171322,ST3TM
Post Lockdown,116.5565924,ST3TM
Post Lockdown,116.1901254,ST3TM
Post Lockdown,113.6835333,ST3TM
Post Lockdown,113.8385448,ST3TM
Post Lockdown,113.9171308,ST3TM
Post Lockdown,112.1651454,ST3TM
Post Lockdown,111.1324388,ST3TM
Post Lockdown,118.7337963,ST3TM
Post Lockdown,118.1317991,ST3TM
Post Lockdown,118.9045243,ST3TM
Post Lockdown,118.0019096,ST3TM
Post Lockdown,119.0870475,ST3TM
Post Lockdown,114.4461297,ST3TM
Post Lockdown,112.1854139,ST3TM
Post Lockdown,114.1666716,ST3TM
Post Lockdown,112.4524553,ST3TM
Post Lockdown,113.8069573,ST3TM
Post Lockdown,116.5822622,ST3TM
Post Lockdown,117.6182818,ST3TM
Post Lockdown,115.6161131,ST3TM
Post Lockdown,116.5930327,ST3TM
Post Lockdown,116.326153,ST3TM
Post Lockdown,118.4351383,ST3TM
Post Lockdown,118.2975272,ST3TM
Post Lockdown,112.5357233,ST3TM
Post Lockdown,112.1836498,ST3TM
Post Lockdown,111.5061956,ST3TM
Post Lockdown,112.1356127,ST3TM
Post Lockdown,112.1549614,ST3TM
Post Lockdown,111.9427859,ST3TM
Post Lockdown,112.249134,ST3TM
Post Lockdown,111.3271307,ST3TM
Post Lockdown,111.6653283,ST3TM
Post Lockdown,112.6028519,ST3TM
Post Lockdown,111.535677,ST3TM
Post Lockdown,116.3771911,ST3TM
Post Lockdown,113.8301348,ST3TM
Post Lockdown,111.6958124,ST3TM
Post Lockdown,113.7809398,ST3TM
Post Lockdown,115.45438,ST3TM
Post Lockdown,115.9731116,ST3TM
Post Lockdown,116.8242253,ST3TM
Post Lockdown,117.1806179,ST3TM
Post Lockdown,113.2913645,ST3TM
Post Lockdown,112.46622,ST3TM
Post Lockdown,111.9214664,ST3TM
Post Lockdown,110.5709482,ST3TM
Post Lockdown,111.4427794,ST3TM
Post Lockdown,111.364448,ST3TM
Post Lockdown,111.7719954,ST3TM
Post Lockdown,115.3426546,ST3TM
Post Lockdown,114.2585339,ST3TM
Post Lockdown,113.5050169,ST3TM
Pre Lockdown,96.31723526,ST4AH
Pre Lockdown,98.43843937,ST4AH
Pre Lockdown,104.255202,ST4AH
Pre Lockdown,108.4302372,ST4AH
Pre Lockdown,106.2308882,ST4AH
