id,date,month,lon,lat,g,cov,sex,length,bathy,ground,year
ct105-15f-13,2014-04-03 9:00,04,87.69742288,-54.12264299,0.713897755,non-cov,f,2.47,-4755.523926,0,2014
ct105-15f-13,2014-04-28 9:00,04,96.52842483,-55.62259081,0.632149118,non-cov,f,2.47,-4204.160156,0,2014
ct105-15f-13,2014-03-23 9:00,03,77.2709598,-52.69605221,0.758729971,non-cov,f,2.47,-998.5076294,1,2014
ct105-15f-13,2014-04-26 9:00,04,95.94992414,-55.64228545,0.635042972,non-cov,f,2.47,-4203.513184,0,2014
ct105-15f-13,2014-03-06 9:00,03,72.47088738,-52.42825812,0.68243867,non-cov,f,2.47,-458.0108948,0,2014
ct105-15f-13,2014-04-01 9:00,04,86.17239513,-53.30528099,0.731386968,non-cov,f,2.47,-4252.169922,0,2014
ct105-15f-13,2014-03-27 9:00,03,80.67989785,-52.64289725,0.756649714,non-cov,f,2.47,-3546.082031,0,2014
ct105-15f-13,2014-04-04 9:00,04,87.95745792,-54.15096065,0.710502443,non-cov,f,2.47,-4737.664063,0,2014
ct105-15f-13,2014-03-14 9:00,03,72.92097535,-52.14441792,0.718229985,non-cov,f,2.47,-400.0740051,0,2014
ct105-15f-13,2014-03-10 9:00,03,72.64190204,-52.25557426,0.70038445,non-cov,f,2.47,-393.954895,0,2014
ct105-15f-13,2014-03-12 9:00,03,72.91921125,-52.15302752,0.709183136,non-cov,f,2.47,-385.2918091,0,2014
ct105-15f-13,2014-04-14 9:00,04,91.46312085,-54.44484279,0.665246252,non-cov,f,2.47,-4377.368164,0,2014
ct105-15f-13,2014-04-23 9:00,04,95.19634418,-55.14544149,0.641025709,non-cov,f,2.47,-4322.948242,0,2014
ct105-15f-13,2014-04-20 9:00,04,93.42763331,-55.06536563,0.652050551,non-cov,f,2.47,-4365.944824,0,2014
ct105-15f-13,2014-03-20 9:00,03,74.64422629,-52.11338977,0.744971371,non-cov,f,2.47,-218.0270996,0,2014
ct105-15f-13,2014-04-25 9:00,04,95.43400295,-55.70737628,0.636352785,non-cov,f,2.47,-4327.619141,0,2014
