UniqueCode,COUNTY.WEEK,WEEK,County,CountyGeolocation,Country,CountryGeolocation,Population_Estimate,Population_Density,Home,Parks,Work,Retail,Grocery,Transit,SPECIES,SPP.2020.OBSERVATION.COUNT,SPP.2019.OBSERVATION.COUNT,SPP.DIFF.COUNT,SPP.DIFF.DURATION,SPP.DIFF.DISTANCE,2020.DURATION.MINUTES,2020.EFFORT.DISTANCE.KM,2019.DURATION.MINUTES,2019.EFFORT.DISTANCE.KM
Cambridgeshire 6BlueTit,Cambridgeshire 6,6,Cambridgeshire,"52.389175, 0.008208",England,"52.598877, -1.4668814",651482,213.9,26.28571429,-15.14285714,-68.71428571,-78,-30.71428571,-75.14285714,BlueTit,4.734177215,4.586956522,0.15,-5.74,1.22,88.63291139,3.678949367,94.36956522,2.457
Cambridgeshire 7BlueTit,Cambridgeshire 7,7,Cambridgeshire,"52.389175, 0.008208",England,"52.598877, -1.4668814",651482,213.9,26.71428571,-18.85714286,-68.28571429,-80,-37.57142857,-75.57142857,BlueTit,4.608108108,5.069767442,-0.46,93.6,0.91,141.0405405,2.337108108,47.44186047,1.428046512
Cambridgeshire 8BlueTit,Cambridgeshire 8,8,Cambridgeshire,"52.389175, 0.008208",England,"52.598877, -1.4668814",651482,213.9,25.28571429,-0.857142857,-63.42857143,-78.28571429,-32.14285714,-72.28571429,BlueTit,3.985714286,5.133333333,-1.15,9.73,0.81,80.12857143,3.114757143,70.4,2.308044444
Cambridgeshire 9BlueTit,Cambridgeshire 9,9,Cambridgeshire,"52.389175, 0.008208",England,"52.598877, -1.4668814",651482,213.9,25.6,-23,-64.6,-78.6,-34,-72.6,BlueTit,3.394736842,3.52173913,-0.13,-13.74,-0.24,96.26315789,2.304263158,110,2.547826087
Cardiff 1BlueTit,Cardiff 1,1,Cardiff,"51.48127, -3.18072",Wales,"52.325066, -3.7999659",467693,4570,0.142857143,1,0.857142857,0.285714286,3.142857143,1,BlueTit,2.6,2.25,0.35,-9.8,-0.18,170.2,0.6276,180,0.8045
Cardiff 4BlueTit,Cardiff 4,4,Cardiff,"51.48127, -3.18072",Wales,"52.325066, -3.7999659",467693,4570,23.28571429,-36,-61.14285714,-74.71428571,-29.28571429,-73.14285714,BlueTit,3.416666667,1,2.42,107.33,1.04,197.3333333,1.042583333,90,0
Cardiff 5BlueTit,Cardiff 5,5,Cardiff,"51.48127, -3.18072",Wales,"52.325066, -3.7999659",467693,4570,26.14285714,-42.42857143,-69.85714286,-81.42857143,-36.71428571,-80.14285714,BlueTit,4.416666667,2.142857143,2.27,-46.93,-0.72,178.5,0.899416667,225.4285714,1.616
Cardiff 6BlueTit,Cardiff 6,6,Cardiff,"51.48127, -3.18072",Wales,"52.325066, -3.7999659",467693,4570,25.85714286,-37.28571429,-71.14285714,-79.57142857,-32.85714286,-78.71428571,BlueTit,1.666666667,4,-2.33,64.4,-0.85,200,0,135.6,0.8464
Cardiff 7BlueTit,Cardiff 7,7,Cardiff,"51.48127, -3.18072",Wales,"52.325066, -3.7999659",467693,4570,26.28571429,-40.42857143,-71,-81.28571429,-39.71428571,-79.71428571,BlueTit,1.6,2.6,-1,74.8,0.32,151,1.9308,76.2,1.606
Cardiff 8BlueTit,Cardiff 8,8,Cardiff,"51.48127, -3.18072",Wales,"52.325066, -3.7999659",467693,4570,24.85714286,-25.42857143,-66.42857143,-78.71428571,-34.71428571,-76.57142857,BlueTit,1.714285714,4.428571429,-2.71,21.43,-1.02,158.7142857,2.055714286,137.2857143,3.078142857
Cardiff 9BlueTit,Cardiff 9,9,Cardiff,"51.48127, -3.18072",Wales,"52.325066, -3.7999659",467693,4570,25.2,-41.6,-67.6,-79.4,-36.8,-76.2,BlueTit,1,1,0,102,0.24,152.5,0.64325,50.5,0.4025
Carmarthenshire 2BlueTit,Carmarthenshire 2,2,Carmarthenshire,"51.90369, -4.16429",Wales,"52.325066, -3.7999659",187568,79.13,1,4.571428571,-1.571428571,1.428571429,8.285714286,-3.714285714,BlueTit,22,1,21,-9,3.85,171,10.284,180,6.437
Carmarthenshire 4BlueTit,Carmarthenshire 4,4,Carmarthenshire,"51.90369, -4.16429",Wales,"52.325066, -3.7999659",187568,79.13,20.4,-11.57142857,-50.71428571,-62.28571429,-23.57142857,-46.28571429,BlueTit,5.666666667,4,1.67,50,4.21,110,4.608,60,0.402
