abund.p,abund.jm,abund.cm,abund.hc,food.source,site.id,tc,Covid,date,time,cb.phase,litter,bins,others,feeding,f.total
0,0,0,0,gs,GS20,WC,yes,202,161,p0,0,0,0,0,0
0,0,0,0,gs,GS28,PRPG,yes,202,232,p0,0,0,0,0,0
0,1,0,0,gs,GS45,SMYT,yes,202,155,p0,0,0,0,0,0
7,6,0,1,bc,BC10,T,yes,202,245,p0,1,1,0,0,2
8,3,0,0,bc,BC11,T,yes,202,217,p0,0,0,0,0,0
8,21,0,0,bc,BC22,ECFS,yes,202,28,p0,5,2,0,0,7
8,10,2,11,bc,BC26,ECFS,yes,202,236,p0,3,4,0,0,7
14,15,2,2,bc,BC3,PRPG,yes,202,70,p0,3,8,0,0,11
9,0,0,0,bc,BC42,WC,yes,202,220,p0,2,1,0,1,4
34,4,0,0,bc,BC43,WC,yes,202,49,p0,5,0,0,1,6
14,8,0,0,bc,BC44,WC,yes,202,78,p0,0,0,0,0,0
19,15,0,0,bc,BC45,WC,yes,202,155,p0,2,0,0,0,2
4,11,0,0,bc,BC7,T,yes,202,25,p0,0,0,0,0,0
8,7,0,0,bc,BC8,T,yes,202,43,p0,1,1,0,0,2
10,4,0,0,bc,BC9,T,yes,202,71,p0,0,0,0,0,0
4,3,0,0,fh,MF14,WC,yes,202,90,p0,1,2,0,1,4
23,2,0,1,fh,MF26,WC,yes,202,260,p0,3,0,0,1,4
5,7,0,0,fh,MF45,WC,yes,202,135,p0,0,0,0,0,0
1,4,0,0,fh,MF46,SMYT,yes,202,75,p0,0,0,0,0,0
2,5,0,0,fh,MF47,SMYT,yes,202,127,p0,0,2,0,0,2
19,4,0,0,fh,MF48,SMYT,yes,202,43,p0,0,1,0,0,1
2,11,0,2,hc,HC1,AH,yes,203,170,p0,12,0,0,0,12
2,9,0,2,hc,HC2,AH,yes,203,193,p0,5,4,0,0,9
7,3,1,2,hc,HC9,ECFS,yes,203,39,p0,4,0,0,0,4
1,2,0,0,hc,HC12,JB,yes,203,176,p0,0,0,0,0,0
13,11,0,0,hc,HC13,JB,yes,203,223,p0,0,0,0,0,0
15,10,0,0,hc,HC14,JB,yes,203,197,p0,0,0,0,0,0
0,2,0,0,hc,HC32,NS,yes,203,25,p0,2,0,1,0,3
3,3,0,0,hc,HC33,NS,yes,203,123,p0,2,1,0,0,3
0,16,0,1,hc,HC34,T,yes,203,92,p0,0,0,0,0,0
2,6,0,0,hc,HC46,WC,yes,203,255,p0,0,0,0,0,0
0,2,0,0,gs,GS8,CCK,yes,203,125,p0,0,0,0,0,0
0,5,2,0,gs,GS17,JB,yes,203,112,p0,0,0,0,0,0
1,4,2,0,gs,GS18,JB,yes,203,140,p0,0,0,0,0,0
0,1,0,0,gs,GS19,WC,yes,203,167,p0,0,0,0,0,0
0,0,0,0,gs,GS23,WC,yes,203,145,p0,0,0,0,0,0
0,2,0,0,gs,GS24,WC,yes,203,125,p0,0,0,0,0,0
2,5,0,0,gs,GS29,JB,yes,203,155,p0,0,0,0,0,0
0,1,0,0,gs,GS34,SMYT,yes,203,207,p0,0,0,0,0,0
5,3,0,0,gs,GS35,T,yes,203,50,p0,0,0,0,0,0
0,0,0,0,gs,GS36,AMK,yes,203,213,p0,0,0,0,0,0
0,0,0,0,gs,GS37,AMK,yes,203,185,p0,0,0,0,0,0
0,0,0,0,gs,GS38,WC,yes,203,193,p0,0,0,0,0,0
0,0,0,0,gs,GS39,WC,yes,203,215,p0,0,0,0,0,0
2,8,0,2,gs,GS40,T,yes,203,76,p0,0,0,0,0,0
0,33,0,0,gs,GS42,WC,yes,203,50,p0,0,0,0,0,0
0,1,0,0,gs,GS43,WC,yes,203,85,p0,0,0,0,0,0
0,2,0,0,gs,GS44,JB,yes,203,240,p0,0,0,0,0,0
0,2,0,0,gs,GS46,SMYT,yes,203,251,p0,0,0,0,0,0
0,0,0,0,gs,GS47,NS,yes,203,228,p0,0,0,0,0,0
0,5,1,0,bc,BC1,PRPG,yes,203,30,p0,0,3,0,0,3
2,12,0,0,bc,BC23,ECFS,yes,203,113,p0,0,1,0,0,1
9,8,0,0,bc,BC24,ECFS,yes,203,252,p0,3,4,0,1,8
12,4,0,0,bc,BC32,NS,yes,203,55,p0,0,0,0,0,0
2,8,0,3,bc,BC33,NS,yes,203,103,p0,0,0,0,0,0
4,3,0,0,bc,BC34,NS,yes,203,85,p0,0,2,0,0,2
4,10,0,3,bc,BC35,NS,yes,203,154,p0,1,1,0,1,3
8,3,0,0,bc,BC36,NS,yes,203,205,p0,1,1,0,1,3
7,3,0,0,bc,BC5,PRPG,yes,203,147,p0,2,3,0,0,5
0,6,0,0,bc,BC6,PRPG,yes,203,242,p0,0,2,0,0,2
4,4,0,0,fh,MF1,SMYT,yes,203,169,p0,0,1,0,0,1
8,2,0,0,fh,MF10,CCK,yes,203,33,p0,0,1,0,0,1
